,Handset Type,Average Throughput (kbps)
449,Huawei Y5 2018,4567.802380952381
450,Huawei Y5 Prime 2018,3947.0
451,Huawei Y5Ii,3626.432926829268
452,Huawei Y6,196.0
453,Huawei Y6 2017 Huawei Nova Young,5487.55
454,Huawei Y6 2017 Huawei Nova Young Huawei Y5 2017,2914.625
455,Huawei Y6 2018,2375.905259318949
456,Huawei Y6 Prime 2018,33575.5
457,Huawei Y6 Pro,2118.0
458,Huawei Y6 Pro 2017 Huawei P9 Lite Mini,1095.5
459,Huawei Y635,1611.2857142857142
460,Huawei Y6Ii,5699.833333333333
461,Huawei Y7,10356.75
462,Huawei Y7 2018,2379.6599537037036
463,Huawei Y7 Prime,4773.0
464,Huawei Y7 Prime 2018,9674.25
465,Huawei Y7 Prime 2018 Huawei Y7 Pro 2018,803.0
466,Huawei Y9 2019,7241.022963333333
467,Infinix Technolo. Hot 6,838.0
468,Infinix Technolo. Infinix Hot Note,1514.0
469,Infinix Technolo. Infinix Surf Bravo,2560.5
470,Infinix Technolo. Note 3 Pro,5378.5
471,Infinix Technolo. X511,1470.25
472,Infocus Corporat. Infocus Vzh,2766.5
473,Intermec Technol. Series 70 (Cn70 1000Cp01U) (Cn70E 1000Cp02U) (Ck70 1001Cp01U),97.5
474,Itel Technology. S31,184.0
475,Itel Technology. S33,4545.0
476,Kapsys Smartvision Kapsys Smartvision By Kapsys Smartconnect,380.0
477,Kapsys Smartvision2 Smartconnect2,191.25
478,Kazam Mobile Lim. Kazam Trooper 451,13.0
479,Kenxinda V7,1692.0
480,Kenxinda Victor Vm-66 N6000 K6,1177.0
481,Kiwip Technologi. Montre Telephone Connectee Kiwip,74.0
482,Kook (Hong Kong). Teeno T600,3878.0
483,Kvd Internationa. Doogee Mix,9010.833333333334
484,Kvd Internationa. Doogee Mix Lite,6715.0
485,Kvd Internationa. Doogee S30,448.5
486,Kvd Internationa. Doogee S55,7.0
487,Kvd Internationa. Doogee S55 Lite,25694.5
488,Kvd Internationa. Doogee S60,6845.0
489,Kvd Internationa. Doogee X10,566.0
490,Kvd Internationa. Doogee X20,3566.8333333333335
491,Kvd Internationa. Doogee X30,216.0
492,Kvd Internationa. Doogee X5,195.0
493,Kvd Internationa. Doogee X5 Max Pro,1156.5
494,Kvd Internationa. Doogee X50,403.5
495,Kvd Internationa. Doogee X60L,20111.5
496,Kvd Internationa. Doogee Y6 C,12210.0
497,Leagoo Intl Co. . Leagoo Lead 6 Lead 5 Lead 7,1808.0
498,Leagoo Intl Co. . Leagoo T5,4934.0
499,Lemobile Informa. Le X527,19351.0
500,Lemobile Informa. Le X820,4889.5
501,Lemobile Informa. Lex622,1149.5
502,Lemobile Informa. Lex626,1127.5
503,Lemobile Informa. Lex651,2165.5
504,Lemobile Informa. Lex720,45.5
505,Lenovo A6020A40,215.5
506,Lenovo Al12415545,4910.5625
507,Lenovo Al12492145,1638.1
508,Lenovo Bl12416045,5148.2514352083335
509,Lenovo D012064645,14208.25
510,Lenovo Gl12494745,1692.6666666666667
511,Lenovo K Pro,6077.75
512,Lenovo K520,2295.5
513,Lenovo K6,4106.5
514,Lenovo Lc12988845,7331.633333333333
515,Lenovo Lenovo A Plus Lenovo Vibe A Plus,2598.3333333333335
516,Lenovo Lenovo A588T,410.5
517,Lenovo Lenovo A6020A40,7318.833333333333
518,Lenovo Lenovo B Lenovo Vibe B,12777.833333333334
519,Lenovo Lenovo K50-T3S,570.5
520,Lenovo Lenovo K52E78,2819.0
521,Lenovo Moto C,1406.5
522,Lenovo Moto C Plus Lc12988845,5209.0
523,Lenovo Moto E,8245.0
524,Lenovo Moto E (2Nd Gen) With 4G Lte St12406045,5704.3
525,Lenovo Moto E (3Rd Gen) Ta12892945,680.0
526,Lenovo Moto E (4Th Gen),975.75
527,Lenovo Moto E Plus (4Th Gen),99.5
528,Lenovo Moto E Plus (4Th Gen) Go12071045,5681.971153846154
529,Lenovo Moto G,1942.25
530,Lenovo Moto G (2Nd Generation) Xt1064 Ti12402745,40.5
531,Lenovo Moto G (2Nd Generation) Xt1068 Indr000145,6057.0
532,Lenovo Moto G (3Rd Gen),15374.0
533,Lenovo Moto G (3Rd Gen) Ca12459445,7122.357142857143
534,Lenovo Moto G (4Th Gen) Af12802745,5927.25
535,Lenovo Moto G (5Th Gen S) D012081145,12081.833333333334
536,Lenovo Moto G (5Th Gen) Da12936945,958.0
537,Lenovo Moto G (5Th Gen) Da12984545,8843.42857142857
538,Lenovo Moto G (5Th Gen) Da12985045,15212.0
539,Lenovo Moto G (5Th Gen) Indr003546,8089.894736842105
540,Lenovo Moto G Play (4Th Gen) Ju12738345,4226.0
541,Lenovo Moto G Play (4Th Gen) Ju12797645,6888.4
542,Lenovo Moto G Plus (4Th Gen) Af12802845,13561.9
543,Lenovo Moto G Plus (5Th Gen) Co128983645,7586.0
544,Lenovo Moto G Plus (5Th Gen) Co12984045,14936.75
545,Lenovo Moto G With 4G Motorola M0Fa8,5409.0
546,Lenovo Moto G Xt1032,4473.0
547,Lenovo Moto X (2Nd Generation) X112360445,5212.5
548,Lenovo Moto X (4Th Gen) Ib12266545,78.0
549,Lenovo Moto X Play,5164.0
550,Lenovo Moto X Play Lx12506245,5730.5
551,Lenovo Moto X Style,11573.5
552,Lenovo Moto X Style Indr001145,7189.5
553,Lenovo Moto Z Force (2Nd Gen) Ge12072245,704.5
554,Lenovo Moto Z Play (2Nd Gen) Ho12005845,4325.840987777778
555,Lenovo Moto Z Play Vx12752445,18076.25
556,Lenovo Moto Z Ve12657645,8713.5
557,Lenovo Motorola Moto G (2Nd Generation) Xt1068 Ti12402545,868.5
558,Lenovo Motorola Razr I Sm12334645 M0D12 Xt890,261.0
559,Lenovo Nexus 6 Valocia,8159.0
560,Lenovo P2 Ku12842445,11934.5625
561,Lenovo Ro12524245,13165.833333333334
562,Lenovo Sl12367645,6467.625
563,Lenovo Xt1772,3486.25
564,Lenovo Za12074545,6141.5
565,Lephone U Pro,22834.5
566,Lg C70,5746.25
567,Lg Ck,241.5
568,Lg G2,299.5
569,Lg G3,17032.630740833334
570,Lg G4,10153.5
571,Lg G4C,10258.0
572,Lg G6,15137.12457622222
573,Lg G6+,7844.022963333333
574,Lg Gt540,14.0
575,Lg K10,25825.0
576,Lg K10 2017,483.0
577,Lg L Bello,5380.333333333333
578,Lg L80,1615.5
579,Lg Leon,381.5
